line,xor,penalty,greedy_or,budget
10654,63,5,1000,1000
10664,63,5,1000,1000
10666,63,5,1000,1000
10668,63,5,1000,1000
10670,63,5,1000,1000
10673,63,5,1000,1000
10675,63,5,1000,1000
10677,63,5,1000,1000
10679,63,5,1000,1000
10684,63,3,1000,1000
10685,63,3,1000,1000
10686,63,3,1000,1000
10688,63,3,1000,1000
10702,63,3,1000,1000
10703,63,3,1000,1000
10715,63,5,1000,1000
10725,63,5,1000,1000
10727,63,5,1000,1000
10729,63,5,1000,1000
10731,63,5,1000,1000
10734,63,5,1000,1000
10736,63,5,1000,1000
10738,63,5,1000,1000
10740,63,5,1000,1000
10745,63,3,1000,1000
10746,63,3,1000,1000
10747,63,3,1000,1000
10762,63,3,1000,1000
10763,63,3,1000,1000
11013,63,3,1000,1000
11014,63,3,1000,1000
11029,63,3,1000,1000
11030,63,3,1000,1000
11033,63,3,1000,1000
11045,63,3,1000,1000
11046,63,3,1000,1000
11061,63,3,1000,1000
11062,63,3,1000,1000
11181,63,3,1000,1000
11229,63,3,1000,1000
13162,63,5,1000,1000
13163,63,5,1000,1000
13169,63,5,1000,1000
13170,63,5,1000,1000
13177,63,5,1000,1000
13178,63,5,1000,1000
13179,63,5,1000,1000
13192,63,5,1000,1000
13193,63,5,1000,1000
13194,63,5,1000,1000
13205,63,5,1000,1000
13206,63,5,1000,1000
13212,63,5,1000,1000
13213,63,5,1000,1000
13220,63,5,1000,1000
13221,63,5,1000,1000
13222,63,5,1000,1000
13235,63,5,1000,1000
13236,63,5,1000,1000
13610,63,5,1000,1000
13747,63,5,1000,1000
13756,63,5,1000,1000
13757,63,5,1000,1000
13764,63,5,1000,1000
13765,63,5,1000,1000
13766,63,5,1000,1000
13779,63,5,1000,1000
13782,63,5,1000,1000
13792,63,5,1000,1000
13793,63,5,1000,1000
13800,63,5,1000,1000
13801,63,5,1000,1000
13802,63,5,1000,1000
13816,63,5,1000,1000
13952,63,5,1000,1000
14097,63,5,1000,1000
14098,63,5,1000,1000
14099,63,5,1000,1000
14113,63,5,1000,1000
14114,63,5,1000,1000
14117,63,5,1000,1000
14128,63,5,1000,1000
14129,63,5,1000,1000
14130,63,5,1000,1000
14144,63,5,1000,1000
14145,63,5,1000,1000
14287,63,5,1000,1000
14603,63,5,1000,1000
14608,63,5,1000,1000
15063,63,5,1000,1000
15067,63,5,1000,1000
16398,63,5,1000,1000
16399,63,5,1000,1000
16405,63,5,1000,1000
16406,63,5,1000,1000
16413,63,5,1000,1000
16414,63,5,1000,1000
16429,63,5,1000,1000
16430,63,5,1000,1000
16432,63,5,1000,1000
16443,63,5,1000,1000
16444,63,5,1000,1000
16450,63,5,1000,1000
16451,63,5,1000,1000
16458,63,5,1000,1000
16459,63,5,1000,1000
16474,63,5,1000,1000
16475,63,5,1000,1000
16886,63,5,1000,1000
17049,63,5,1000,1000
17059,63,5,1000,1000
17060,63,5,1000,1000
17067,63,5,1000,1000
17068,63,5,1000,1000
17084,63,5,1000,1000
17087,63,5,1000,1000
17097,63,5,1000,1000
17098,63,5,1000,1000
17105,63,5,1000,1000
17106,63,5,1000,1000
17122,63,5,1000,1000
17279,63,5,1000,1000
17446,63,5,1000,1000
17447,63,5,1000,1000
17463,63,5,1000,1000
17465,63,5,1000,1000
17468,63,5,1000,1000
17479,63,5,1000,1000
17480,63,5,1000,1000
17496,63,5,1000,1000
17498,63,5,1000,1000
17677,63,5,1000,1000
17682,63,5,1000,1000
17684,63,5,1000,1000
17712,63,5,1000,1000
17747,63,5,1000,1000
18028,63,5,1000,1000
18032,63,5,1000,1000
23284,63,3,1000,1000
23288,63,3,1000,1000
23435,63,3,1000,1000
23436,63,3,1000,1000
23453,63,3,1000,1000
23454,63,3,1000,1000
23455,63,3,1000,1000
23471,63,3,1000,1000
23472,63,3,1000,1000
23530,63,3,1000,1000
23534,63,3,1000,1000
23680,63,3,1000,1000
